content,Sentimen,Confidence,Cleaned
"aplikasi jelek, pas zaman nya covid pernah daftar, tp skrng mau masuk lagi malah data nya ilang, cuma email dan nomor hp yang masih terverifikasi, giliran udah masuk cek profil malah kosong, data nya, mau di perbaharui gak bisa",negatif,0.9973222613334656,jelek pas zaman covid daftar skrng masuk data ilang email nomor terverifikasi giliran udah masuk cek profil kosong data perbaharui
"Haduh,, aplikasi pemerintah lagi. Apresiasi ada aplikasinya. Tapi mau login aja berjam-jam cuman masukin pin doang. Ini sinyalnya harus 5G dulu apa gimana baru bisa login! Sudah banyak yang komplain loh, sampai rating 3, gini masa ngga ada perbaikan.",negatif,0.999347984790802,haduh pemerintah apresiasi aplikasinya login berjam jam cuman masukin pin doang sinyalnya gimana login komplain loh rating gini ngga perbaikan
"admin, saya tidak bisa masuk ke aplikasi, ngestuck di tampilan pilih tema, dan ga bis pilih lanjut atau pun batal, muncul keterangan 'terjadi gangguan' silahkan hubungi helpdesch, sudah pake wifi maupun kuota pribadi dan ganti jaringan.",negatif,0.7788686752319336,admin masuk ngestuck tampilan pilih tema bis pilih batal muncul keterangan gangguan silahkan hubungi helpdesch pake wifi kuota pribadi ganti jaringan
"apk nya banyak bug, mau edit profil udh ditunggu lama tetep layar blank abu abu.... tolong diperbaiki ya....ini program udh bagus, jgn kecewakan masyarakat dong... :(((((((( update : harus wa nan dulu sama adminya baru bisa 👍🏾🥲🥲🥲🥲🥲🥲",negatif,0.9823708534240723,apk bug edit profil udh ditunggu tetep layar blank abu abu tolong diperbaiki program udh bagus jgn kecewakan masyarakat update nan adminya
"kenapa ya setiap mau donwload sertifikat vaksin selalu gak bisa, padahal memori internal masih banyak yang kosong. udh dicoba reinstall juga tetep gak bisa. butuh sertifikat buat kerjaan ini, tolong dong developer diperbaiki bug nya",negatif,0.9910509586334229,donwload sertifikat vaksin memori internal kosong udh dicoba reinstall tetep butuh sertifikat kerjaan tolong developer diperbaiki bug
"saya sudah #CKG tapi belum ada hasil di aplikasi satu sehat,padahal di puskesmas sudah ada hasil #CKG nya.. +baru saja kemarin verifikasi akun profil aplikasi satu sehat di puskesmas,tapi hari ini justru malah tak muncul akun saya. &disaat mau memilih jenis kelamin untuk disimpan,tapi tak bisa verifikasi lewat email/whatsapp(padahal kode nya sudah masuk di email/whatsapp). harap perbaiki.terimakasih",negatif,0.8889462351799011,ckg hasil puskesmas hasil ckg kemarin verifikasi akun profil puskesmas muncul akun disaat memilih jenis kelamin disimpan verifikasi email whatsapp kode masuk email whatsapp harap perbaiki terimakasih
"Sesuai dugaan, aplikasi pemerintah memang sangat tidak layak. Setiap buka aplikasi harus log in ulang dan setiap saya menginput PIN selalu salah, tidak peduli berapa juta kali pun saya input tetap saja sistem menyatakan salah dan itu benar-benar menjengkelkan. Saya bertanya-tanya mengapa aplikasi pemerintah begitu buruk sekali? Bahkan saya menduga bahwa mungkin saja mereka menyewa developer magang sehingga hasilnya jauh sekali dari kata bagus! SEMOGA TERSAMPAIKAN dan TOLONG PERBAIKI APLIKASINYA!",negatif,0.9993171691894531,sesuai dugaan pemerintah layak buka log ulang menginput pin salah peduli juta kali input sistem salah menjengkelkan pemerintah buruk menduga menyewa developer magang hasilnya bagus semoga tolong perbaiki aplikasinya
"sudah checkup gratis hasilnya lama, sekarang malah profil nya berubah jadi kosong karena NIK tidak ditemukan. Diinstal ulang tetep seperti itu. Gimana ini?saya kan butuh hasil kemaren",negatif,0.9970446228981018,checkup gratis hasilnya profil berubah kosong nik ditemukan diinstal ulang tetep gimana butuh hasil kemaren
"Aplikasi nasional ko lemot banget, punya orang IT canggih canggih kan pasti, suruh pada kerja benerin nih aplikasi, email verifikasi masuk, tapi tampilan pin di aplikasi nya ga mau masuk masuk, aneh.",negatif,0.9992223978042603,nasional lemot orang canggih canggih suruh kerja benerin email verifikasi masuk tampilan pin masuk masuk aneh
"yang buatin aplikasi pemerintah siapa ya? perasaan gak ada yang bener aplikasinya. loading lama gajelas apa yang di proses, tampilan kurang, udah log in tapi data tidak tertera. Malu ga sih? ini aplikasi pemerintah loh, bukan aplikasi uji coba ecek"" buatan.",negatif,0.9993292093276978,buatin pemerintah perasaan bener aplikasinya loading gajelas proses tampilan udah log data tertera malu pemerintah loh uji coba ecek buatan
